"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
136,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
136,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
136,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
136,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
136,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
136,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
136,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
137,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
137,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
137,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
137,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
137,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
137,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
137,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
138,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
138,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
138,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
138,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
138,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
138,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
138,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
139,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
139,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
139,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
139,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
139,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
139,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
139,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
140,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
140,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
140,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
140,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
140,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
140,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
140,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
141,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
141,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
141,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
141,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
141,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
141,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
141,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
142,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
142,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
142,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
142,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
142,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
142,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
142,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
143,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
143,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
143,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
143,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
143,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
143,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
143,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
144,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
144,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
144,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
144,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
144,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
144,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
144,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
145,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
145,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
145,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
145,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
145,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
145,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,112,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,120,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,128,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
145,2.412,136,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
146,2.412,0,80.3064155854839,57.2620959134313,52.4114251426542,78.746676904295,-34.9591334091497,-16.5121061391952,-13.3635450952333,-30.2525222710185
146,2.412,8,80.308568656478,57.2624671603418,52.4112243523813,78.7490313129451,-34.963237849133,-16.5137894939486,-13.3642598232707,-30.2562073962704
146,2.412,16,80.3100964814681,57.2627314134437,52.411082830909,78.7507018432537,-34.9661475302944,-16.5149828349881,-13.3647667482945,-30.2588197464365
146,2.412,24,80.3116287625098,57.2629971155883,52.4109416954186,78.7523771090425,-34.9690633352931,-16.5161786818432,-13.3652749457524,-30.2614375327811
146,2.412,32,80.3138033488452,57.2633753590123,52.4107427688491,78.7547543822031,-34.973197343139,-16.5178741354861,-13.3659958175297,-30.2651489056529
146,2.412,40,80.3190900780823,57.2643005953656,52.4102658331888,78.7605327284589,-34.9832279657164,-16.5219878841267,-13.367746640992,-30.2741535422818
146,2.412,48,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
146,2.412,56,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
146,2.412,64,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
146,2.412,72,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
146,2.412,80,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
146,2.412,88,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
146,2.412,96,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
146,2.412,104,79.4015346647249,57.0247894046338,52.3984358256271,77.7754703265024,-33.5300811699149,-15.9233115755417,-13.0882408096022,-28.9778567358535
